[0.002s][info][metaspace]  - commit_granule_bytes: 65536.
[0.003s][info][metaspace]  - commit_granule_words: 8192.
[0.003s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.003s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.005s][info][gc,init  ] CardTable entry size: 512
[0.005s][info][gc       ] Using Parallel
[0.006s][info][gc,init  ] Version: 24-internal-adhoc.root.jdk (release)
[0.006s][info][gc,init  ] CPUs: 2 total, 2 available
[0.006s][info][gc,init  ] Memory: 3908M
[0.006s][info][gc,init  ] Large Page Support: Disabled
[0.006s][info][gc,init  ] NUMA Support: Disabled
[0.006s][info][gc,init  ] Compressed Oops: Enabled (32-bit)
[0.006s][info][gc,init  ] Alignments: Space 512K, Generation 512K, Heap 2M
[0.006s][info][gc,init  ] Heap Min Capacity: 256M
[0.006s][info][gc,init  ] Heap Initial Capacity: 256M
[0.006s][info][gc,init  ] Heap Max Capacity: 978M
[0.006s][info][gc,init  ] Pre-touch: Disabled
[0.006s][info][gc,init  ] Parallel Workers: 2
[0.022s][info][gc,metaspace] CDS archive(s) mapped at: [0x00007f34fe000000-0x00007f34fedc0000-0x00007f34fedc0000), size 14417920, SharedBaseAddress: 0x00007f34fe000000, ArchiveRelocationMode: 1.
[0.022s][info][gc,metaspace] Compressed class space mapped at: 0x00007f34ff000000-0x00007f353f000000, reserved size: 1073741824
[0.022s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[0.022s][info][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[0.023s][info][gc,metaspace] Narrow klass base: 0x00007f34fe000000, Narrow klass shift: 0
[0.023s][info][gc,metaspace] Encoding Range: [0x00007f34fe000000 - 0x00007f35fe000000), (4294967296 bytes)
[0.023s][info][gc,metaspace] Klass Range:    [0x00007f34fe000000 - 0x00007f353f000000), (1090519040 bytes)
[0.023s][info][gc,metaspace] Klass ID Range:  [8 - 1090519033) (1090519025)
[1.650s][info][gc,start    ] GC(0) Pause Young (Allocation Failure)
[1.666s][info][gc,heap     ] GC(0) PSYoungGen: 65536K(76288K)->8405K(76288K) Eden: 65536K(65536K)->0K(65536K) From: 0K(10752K)->8405K(10752K)
[1.666s][info][gc,heap     ] GC(0) ParOldGen: 1157K(175104K)->1245K(175104K)
[1.666s][info][gc,metaspace] GC(0) Metaspace: 19771K(19904K)->19771K(19904K) NonClass: 17903K(17984K)->17903K(17984K) Class: 1867K(1920K)->1867K(1920K)
[1.666s][info][gc          ] GC(0) Pause Young (Allocation Failure) 65M->9M(245M) 16.713ms
[1.666s][info][gc,cpu      ] GC(0) User=0.02s Sys=0.00s Real=0.01s
[2.145s][info][metaspace   ] ChkMgr @0x00007f355c03aaa0 (non-class-space): failed to commit 45 words on chunk @0x00007f355c6ac050, f, base 0x00007f34f5360000, level lv10.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): failed to allocate new chunk for requested word size 45.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): allocation failed, returned null.
[2.145s][info][metaspace   ] ChkMgr @0x00007f355c03aaa0 (non-class-space): failed to commit 45 words on chunk @0x00007f355c6ac050, f, base 0x00007f34f5360000, level lv10.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): failed to allocate new chunk for requested word size 45.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): allocation failed, returned null.
[2.145s][info][metaspace   ] ChkMgr @0x00007f355c03aaa0 (non-class-space): failed to commit 45 words on chunk @0x00007f355c6ac050, f, base 0x00007f34f5360000, level lv10.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): failed to allocate new chunk for requested word size 45.
[2.145s][info][metaspace   ] Arena @0x00007f355c12bd40 (non-class arena): allocation failed, returned null.
[2.145s][info][gc,start    ] GC(1) Pause Full (Metadata GC Threshold)
[2.145s][info][gc,phases,start] GC(1) Marking Phase
[2.161s][info][gc,phases      ] GC(1) Marking Phase 16.231ms
[2.161s][info][gc,phases,start] GC(1) Summary Phase
[2.161s][info][gc,phases      ] GC(1) Summary Phase 0.011ms
[2.161s][info][gc,phases,start] GC(1) Forward
[2.163s][info][gc,phases      ] GC(1) Forward 1.876ms
[2.163s][info][gc,phases,start] GC(1) Adjust Pointers
[2.170s][info][gc,phases      ] GC(1) Adjust Pointers 7.037ms
[2.170s][info][gc,phases,start] GC(1) Compaction Phase
[2.176s][info][gc,phases      ] GC(1) Compaction Phase 6.145ms
[2.176s][info][gc,phases,start] GC(1) Post Compact
[2.178s][info][gc,phases      ] GC(1) Post Compact 1.681ms
[2.178s][info][gc,heap        ] GC(1) PSYoungGen: 28403K(76288K)->0K(76288K) Eden: 19998K(65536K)->0K(65536K) From: 8405K(10752K)->0K(10752K)
[2.178s][info][gc,heap        ] GC(1) ParOldGen: 1245K(175104K)->8695K(175104K)
[2.178s][info][gc,metaspace   ] GC(1) Metaspace: 21375K(21504K)->21375K(21504K) NonClass: 19380K(19456K)->19380K(19456K) Class: 1995K(2048K)->1995K(2048K)
[2.178s][info][gc             ] GC(1) Pause Full (Metadata GC Threshold) 28M->8M(245M) 33.427ms
[2.178s][info][gc,cpu         ] GC(1) User=0.06s Sys=0.01s Real=0.03s
[3.148s][info][gc,start       ] GC(2) Pause Young (Allocation Failure)
[3.156s][info][gc,heap        ] GC(2) PSYoungGen: 65536K(76288K)->4024K(76288K) Eden: 65536K(65536K)->0K(65536K) From: 0K(10752K)->4024K(10752K)
[3.156s][info][gc,heap        ] GC(2) ParOldGen: 8695K(175104K)->8703K(175104K)
[3.157s][info][gc,metaspace   ] GC(2) Metaspace: 22850K(23040K)->22850K(23040K) NonClass: 20798K(20928K)->20798K(20928K) Class: 2052K(2112K)->2052K(2112K)
[3.157s][info][gc             ] GC(2) Pause Young (Allocation Failure) 72M->12M(245M) 9.016ms
[3.157s][info][gc,cpu         ] GC(2) User=0.01s Sys=0.00s Real=0.01s
[3.644s][info][gc,start       ] GC(3) Pause Young (Allocation Failure)
[3.648s][info][gc,heap        ] GC(3) PSYoungGen: 69560K(76288K)->3297K(76288K) Eden: 65536K(65536K)->0K(65536K) From: 4024K(10752K)->3297K(10752K)
[3.648s][info][gc,heap        ] GC(3) ParOldGen: 8703K(175104K)->8703K(175104K)
[3.648s][info][gc,metaspace   ] GC(3) Metaspace: 23360K(23488K)->23360K(23488K) NonClass: 21274K(21376K)->21274K(21376K) Class: 2085K(2112K)->2085K(2112K)
